,築年数,賃料,占有面積
7,13.0,8.4,23.55
8,13.0,8.3,22.64
9,12.0,11.1,28.34
10,31.0,6.3,19.76
11,14.0,8.8,30.92
12,3.0,15.0,33.12
13,12.0,11.0,21.0
14,1.0,9.6,26.0
15,14.0,7.9,20.16
16,9.0,9.6,21.75
17,15.0,8.6,20.6
18,13.0,11.1,27.42
19,11.0,10.65,26.98
20,3.0,12.2,30.8
21,0.0,11.2,28.05
22,3.0,9.6,25.69
23,15.0,8.8,20.25
24,17.0,9.9,22.1
25,0.0,14.1,27.41
26,0.0,9.6,26.15
27,11.0,10.5,26.07
28,5.0,10.1,26.55
29,11.0,9.9,24.87
30,4.0,11.3,26.35
31,5.0,9.0,25.56
32,5.0,9.4,25.61
33,15.0,7.9,29.2
34,8.0,9.2,28.98
35,11.0,9.1,25.42
36,15.0,8.1,21.09
37,15.0,8.1,21.09
38,8.0,11.0,23.56
39,5.0,10.45,25.7
40,9.0,9.0,28.36
41,9.0,10.2,25.47
42,6.0,9.9,30.3
43,0.0,10.1,21.27
44,18.0,10.7,27.25
45,18.0,11.2,27.25
46,14.0,9.1,21.28
47,11.0,16.8,37.02
48,13.0,8.9,22.47
49,10.0,13.2,35.24
0,3.0,11.8,34.92
1,13.0,9.0,22.5
2,13.0,9.6,22.04
3,13.0,8.9,20.32
4,13.0,8.75,21.94
5,9.0,9.3,25.1
6,10.0,8.0,21.01
7,17.0,7.9,24.87
8,14.0,9.1,21.28
9,15.0,6.8,19.86
10,12.0,8.8,18.56
11,11.0,8.7,22.12
12,13.0,8.3,22.64
13,12.0,10.2,24.87
14,17.0,8.15,19.68
15,4.0,10.6,25.26
16,16.0,7.1,22.97
17,17.0,7.9,24.87
18,7.0,10.6,25.24
19,0.0,13.2,30.63
20,4.0,10.8,25.26
21,11.0,7.8,19.64
22,3.0,10.9,26.5
23,14.0,8.4,23.45
24,12.0,7.8,23.0
25,18.0,8.3,20.46
26,11.0,7.7,20.53
27,2.0,7.65,13.39
28,12.0,8.9,22.0
29,12.0,9.1,22.0
30,15.0,8.8,23.4
31,3.0,11.2,25.08
32,10.0,9.8,20.48
33,18.0,8.0,23.38
34,18.0,8.0,21.05
35,13.0,8.37,21.21
36,10.0,9.8,20.48
37,30.0,6.6,18.81
38,13.0,8.1,17.94
39,8.0,9.8,25.26
40,15.0,8.11,21.29
41,13.0,7.9,21.7
42,10.0,8.4,21.01
43,12.0,8.2,19.5
44,16.0,9.9,21.19
45,3.0,12.0,30.78
46,4.0,9.3,21.78
47,19.0,7.9,21.23
48,16.0,7.9,21.75
49,13.0,7.4,20.15
0,14.0,8.3,23.18
1,0.0,9.1,22.2
2,21.0,7.4,18.5
3,12.0,8.8,18.09
4,13.0,7.2,20.25
5,10.0,9.2,25.51
6,14.0,11.0,22.23
7,20.0,7.5,20.07
8,3.0,10.9,26.5
9,15.0,7.9,29.2
10,3.0,11.0,25.2
11,14.0,7.6,20.73
12,5.0,9.75,25.73
13,6.0,10.4,25.0
14,0.0,9.7,25.36
15,5.0,10.35,25.47
16,11.0,10.2,25.62
17,20.0,7.5,20.89
18,9.0,10.2,25.47
19,11.0,7.4,19.13
20,17.0,8.15,19.68
21,41.0,7.4,19.45
22,41.0,7.0,19.45
23,10.0,9.8,28.82
24,2.0,10.6,25.34
25,16.0,7.9,18.79
26,4.0,14.3,28.33
27,17.0,8.4,19.88
28,20.0,6.75,20.29
29,10.0,12.8,30.8
30,2.0,10.7,25.03
31,17.0,8.9,26.0
32,9.0,9.6,25.24
33,12.0,11.7,26.58
34,18.0,9.6,20.54
35,13.0,11.2,24.56
36,9.0,10.2,23.69
37,6.0,8.7,25.44
38,15.0,16.98,43.13
39,13.0,6.8,18.74
40,11.0,8.3,22.97
41,9.0,10.8,24.91
42,20.0,8.6,20.25
43,18.0,6.7,19.32
44,16.0,8.6,20.84
45,7.0,23.3,38.98
46,16.0,6.7,17.62
47,17.0,7.6,18.53
48,1.0,12.7,25.21
49,8.0,8.45,23.28
0,10.0,7.55,21.19
1,10.0,7.6,21.23
2,17.0,7.2,19.85
