date,date,ave_t,max_t,min_t
1993-07-01,1993-07-01,22.5,25.3,20.0
1993-08-01,1993-08-01,24.8,28.0,22.3
1993-09-01,1993-09-01,22.9,25.8,20.2
1993-10-01,1993-10-01,17.5,20.8,14.4
1993-11-01,1993-11-01,14.1,17.7,10.9
1993-12-01,1993-12-01,8.5,12.3,5.3
1994-01-01,1994-01-01,5.5,9.1,2.1
1994-02-01,1994-02-01,6.6,10.6,3.0
1994-03-01,1994-03-01,8.1,11.6,4.8
1994-04-01,1994-04-01,15.8,19.8,11.4
1994-05-01,1994-05-01,19.5,23.4,15.9
1994-06-01,1994-06-01,22.4,26.0,19.1
1994-07-01,1994-07-01,28.3,31.8,25.3
1994-08-01,1994-08-01,28.9,32.9,25.9
1994-09-01,1994-09-01,24.8,28.1,22.0
1994-10-01,1994-10-01,20.2,23.0,17.5
1994-11-01,1994-11-01,13.4,17.1,9.8
1994-12-01,1994-12-01,9.0,12.8,5.2
1995-01-01,1995-01-01,6.3,10.2,2.5
1995-02-01,1995-02-01,6.5,10.1,2.9
1995-03-01,1995-03-01,8.9,13.0,5.3
1995-04-01,1995-04-01,15.0,19.1,11.5
1995-05-01,1995-05-01,19.1,22.7,16.1
1995-06-01,1995-06-01,20.4,23.5,17.8
1995-07-01,1995-07-01,26.4,29.6,23.7
1995-08-01,1995-08-01,29.4,33.7,26.1
1995-09-01,1995-09-01,23.7,27.4,20.7
1995-10-01,1995-10-01,19.5,23.0,16.5
1995-11-01,1995-11-01,12.7,16.7,8.7
1995-12-01,1995-12-01,7.7,12.1,3.9
1996-01-01,1996-01-01,6.6,10.4,2.9
1996-02-01,1996-02-01,5.4,9.4,1.7
1996-03-01,1996-03-01,9.2,13.1,5.5
1996-04-01,1996-04-01,12.7,17.0,8.5
1996-05-01,1996-05-01,18.1,22.0,14.6
1996-06-01,1996-06-01,22.6,26.4,19.5
1996-07-01,1996-07-01,26.2,30.0,23.1
1996-08-01,1996-08-01,26.0,30.0,23.0
1996-09-01,1996-09-01,22.4,26.3,19.4
1996-10-01,1996-10-01,18.0,21.7,14.5
1996-11-01,1996-11-01,13.2,16.7,10.1
1996-12-01,1996-12-01,9.3,13.6,5.3
1997-01-01,1997-01-01,6.8,11.3,2.7
1997-02-01,1997-02-01,7.0,11.2,3.1
1997-03-01,1997-03-01,10.5,14.7,6.8
1997-04-01,1997-04-01,15.2,19.2,11.4
